instrument1,instrument2,period,frequency,entry_id
B3SA3,MRVE3,1D,1H,3
POMO4,UGPA3,1D,1T,3
SBSP3,TIMS3,1D,1H,3
CEAB3,GOAU4,1D,1T,2
ALOS3,IGTI11,1D,1T,1
SBSP3,USIM5,1D,1S,1
RECV3,VAMO3,1D,1H,2
MBRF3,PETR3,1D,1T,3
AZZA3,CPLE6,1D,1H,1
CMIG4,BEEF3,1D,1H,1
DIRR3,SUZB3,1D,1T,2
HYPE3,ISAE4,1D,1H,2
ITUB4,MBRF3,1D,1S,2
COGN3,TOTS3,1D,1T,3
HAPV3,SUZB3,1D,1S,1
GGBR4,RECV3,1D,1H,2
CMIN3,VALE3,1D,1S,3
CMIG4,RAIL3,1D,1T,1
BBSE3,VIVT3,1D,1T,3
GGBR4,ITUB4,1D,1S,1
ELET6,MGLU3,1D,1T,3
CPLE6,PRIO3,1D,1T,2
IGTI11,YDUQ3,1D,1T,3
ELET6,MRVE3,1D,1S,2
ISAE4,PSSA3,1D,1S,1
RAIZ4,CSNA3,1D,1T,1
BBAS3,MOTV3,1D,1H,2
TOTS3,WEGE3,1D,1H,2
CURY3,HAPV3,1D,1T,1
HAPV3,SUZB3,1D,1T,2
CPLE6,FLRY3,1D,1T,1
CVCB3,ELET6,1D,1T,1
BRAV3,DIRR3,1D,1S,2
EGIE3,RAIZ4,1D,1T,1
BRAP4,VBBR3,1D,1H,1
BRAV3,RDOR3,1D,1S,3
BEEF3,SUZB3,1D,1S,3
PETR4,RAIZ4,1D,1T,2
BBAS3,BRAV3,1D,1H,2
ENEV3,ITSA4,1D,1T,3
LREN3,NATU3,1D,1T,3
IRBR3,RAIZ4,1D,1T,1
CXSE3,VAMO3,1D,1T,2
ELET3,TIMS3,1D,1S,3
ITSA4,RECV3,1D,1T,1
ABEV3,YDUQ3,1D,1T,3
LREN3,YDUQ3,1D,1H,3
CVCB3,RADL3,1D,1H,2
POMO4,RAIZ4,1D,1T,1
ASAI3,ENEV3,1D,1T,1
CMIG4,TIMS3,1D,1T,3
ELET3,ISAE4,1D,1H,1
CPFE3,VBBR3,1D,1S,1
ENEV3,EGIE3,1D,1T,1
ITSA4,KLBN11,1D,1T,3
HAPV3,RADL3,1D,1H,3
ASAI3,CVCB3,1D,1S,2
ALOS3,ENEV3,1D,1H,3
ASAI3,MRVE3,1D,1S,1
CVCB3,ELET6,1D,1H,1
CMIN3,USIM5,1D,1T,2
BBDC3,DIRR3,1D,1H,2
BBDC3,UGPA3,1D,1S,2
RAIZ4,TOTS3,1D,1S,2
MBRF3,RECV3,1D,1T,2
MULT3,USIM5,1D,1S,2
AURE3,LREN3,1D,1H,1
CMIG4,TAEE11,1D,1H,3
RADL3,SANB11,1D,1S,2
CVCB3,LREN3,1D,1S,2
ALOS3,CMIN3,1D,1H,1
CPLE6,RENT3,1D,1S,2
BBDC3,VIVA3,1D,1T,3
SUZB3,VIVA3,1D,1S,2
RENT3,LREN3,1D,1H,2
SANB11,VALE3,1D,1T,1
NATU3,PCAR3,1D,1S,3
BRAP4,MBRF3,1D,1H,3
ENGI11,RENT3,1D,1T,3
MBRF3,SLCE3,1D,1H,3
VAMO3,VIVA3,1D,1H,3
B3SA3,MGLU3,1D,1S,1
ALOS3,MOTV3,1D,1T,3
RAIZ4,USIM5,1D,1S,2
CURY3,EGIE3,1D,1S,1
EMBR3,NATU3,1D,1S,3
IGTI11,RDOR3,1D,1T,1
BBAS3,HYPE3,1D,1T,3
GOAU4,USIM5,1D,1H,3
AURE3,GOAU4,1D,1S,2
AZZA3,EGIE3,1D,1H,2
CMIG4,TOTS3,1D,1S,1
BRKM5,ENEV3,1D,1H,1
HYPE3,RECV3,1D,1H,3
KLBN11,PSSA3,1D,1T,1
BBDC4,CSNA3,1D,1S,2
CXSE3,ELET3,1D,1S,1
EGIE3,LREN3,1D,1H,1
IRBR3,PETR3,1D,1T,3
PETR3,RDOR3,1D,1T,3
CPFE3,RADL3,1D,1S,3
IGTI11,POMO4,1D,1T,2
ELET6,VIVT3,1D,1S,3
ALOS3,VAMO3,1D,1T,1
BBDC3,ISAE4,1D,1H,1
EMBR3,LREN3,1D,1H,1
BRAV3,ITUB4,1D,1S,3
CSNA3,SUZB3,1D,1T,2
ITSA4,SBSP3,1D,1S,2
CEAB3,PETR3,1D,1T,2
BBDC3,BBDC4,1D,1H,1
VALE3,VBBR3,1D,1T,1
SMFT3,VALE3,1D,1S,1
MBRF3,YDUQ3,1D,1S,2
FLRY3,RECV3,1D,1H,3
FLRY3,CSNA3,1D,1H,2
BBDC3,SMFT3,1D,1H,3
CMIN3,PSSA3,1D,1T,3
NATU3,VIVA3,1D,1H,1
FLRY3,RAIL3,1D,1S,2
RECV3,SANB11,1D,1S,2
LREN3,POMO4,1D,1S,3
PCAR3,VALE3,1D,1T,2
FLRY3,SBSP3,1D,1H,3
SUZB3,UGPA3,1D,1T,3
ABEV3,SBSP3,1D,1S,3
CSAN3,VIVT3,1D,1S,3
PSSA3,VAMO3,1D,1S,2
CMIG4,ENGI11,1D,1S,1
RENT3,SBSP3,1D,1H,3
CEAB3,PCAR3,1D,1T,1
SUZB3,TIMS3,1D,1H,1
MRVE3,SBSP3,1D,1T,2
RAIL3,VALE3,1D,1T,1
LREN3,BEEF3,1D,1T,2
CPLE6,HAPV3,1D,1H,2
SUZB3,YDUQ3,1D,1T,2
DIRR3,PSSA3,1D,1H,3
DIRR3,BEEF3,1D,1T,1
CPLE6,SBSP3,1D,1H,3
ENEV3,SANB11,1D,1S,3
EGIE3,VALE3,1D,1T,2
CSAN3,GOAU4,1D,1H,1
BBDC4,SBSP3,1D,1T,2
BBDC3,SMFT3,1D,1T,1
BEEF3,PRIO3,1D,1T,3
COGN3,IGTI11,1D,1S,1
CPLE6,NATU3,1D,1H,1
EGIE3,LREN3,1D,1S,2
B3SA3,TAEE11,1D,1S,1
ELET3,RDOR3,1D,1H,2
EMBR3,UGPA3,1D,1T,3
LREN3,PCAR3,1D,1T,2
CYRE3,SUZB3,1D,1S,1
POMO4,MBRF3,1D,1H,1
B3SA3,TAEE11,1D,1T,1
EMBR3,EGIE3,1D,1T,3
BPAC11,SUZB3,1D,1T,3
ITUB4,SMFT3,1D,1S,2
ABEV3,CMIG4,1D,1H,1
CPFE3,WEGE3,1D,1T,1
ELET6,FLRY3,1D,1H,1
ISAE4,VIVT3,1D,1S,1
ASAI3,RECV3,1D,1H,2
CEAB3,BEEF3,1D,1H,3
BBSE3,COGN3,1D,1S,3
RAIZ4,VBBR3,1D,1T,1
CURY3,ISAE4,1D,1H,2
B3SA3,MULT3,1D,1S,2
MRVE3,TIMS3,1D,1T,3
MRVE3,PSSA3,1D,1H,1
PCAR3,WEGE3,1D,1T,2
CSAN3,VIVA3,1D,1H,3
CPFE3,PETR4,1D,1H,3
AURE3,TIMS3,1D,1T,1
B3SA3,VIVT3,1D,1T,3
RECV3,PSSA3,1D,1T,3
EQTL3,MBRF3,1D,1S,3
AURE3,EGIE3,1D,1H,3
EMBR3,YDUQ3,1D,1S,1
ISAE4,USIM5,1D,1T,1
CYRE3,UGPA3,1D,1T,2
ASAI3,BPAC11,1D,1H,2
HAPV3,YDUQ3,1D,1T,1
ISAE4,VIVT3,1D,1H,3
BBAS3,CPLE6,1D,1T,3
AZZA3,GOAU4,1D,1T,1
GOAU4,RENT3,1D,1H,3
CPFE3,RAIZ4,1D,1S,3
DIRR3,HYPE3,1D,1T,1
SANB11,VIVT3,1D,1H,2
CVCB3,BEEF3,1D,1S,1
ITSA4,UGPA3,1D,1H,1
B3SA3,FLRY3,1D,1H,2
RADL3,TOTS3,1D,1H,2
MGLU3,PRIO3,1D,1S,2
RENT3,TOTS3,1D,1S,2
CYRE3,ITSA4,1D,1T,2
BRAP4,SUZB3,1D,1H,1
FLRY3,USIM5,1D,1T,2
CURY3,GGBR4,1D,1T,2
ELET6,SBSP3,1D,1S,1
ENGI11,POMO4,1D,1S,2
CEAB3,CSAN3,1D,1T,1
EGIE3,RECV3,1D,1T,2
IRBR3,SMFT3,1D,1S,1
AZZA3,PETR4,1D,1H,1
ITSA4,NATU3,1D,1H,2
BBAS3,CSNA3,1D,1S,3
CSNA3,SMFT3,1D,1T,3
ABEV3,RAIZ4,1D,1S,3
RENT3,MBRF3,1D,1H,2
EMBR3,SLCE3,1D,1H,2
TOTS3,VAMO3,1D,1H,3
ISAE4,NATU3,1D,1S,3
CPFE3,MBRF3,1D,1T,2
CMIN3,ELET3,1D,1S,1
BRAP4,MBRF3,1D,1T,1
EGIE3,VIVT3,1D,1H,1
HYPE3,NATU3,1D,1T,3
BBDC3,CSAN3,1D,1H,3
KLBN11,VALE3,1D,1T,3
CSAN3,MOTV3,1D,1S,2
RECV3,UGPA3,1D,1H,1
CVCB3,WEGE3,1D,1S,2
COGN3,LREN3,1D,1S,2
GOAU4,POMO4,1D,1H,2
ISAE4,UGPA3,1D,1S,3
CXSE3,RAIZ4,1D,1S,2
BEEF3,RDOR3,1D,1S,3
GOAU4,POMO4,1D,1S,1
EQTL3,SLCE3,1D,1T,1
ENEV3,RDOR3,1D,1H,2
FLRY3,LREN3,1D,1S,1
B3SA3,SLCE3,1D,1T,2
BBDC3,ITSA4,1D,1S,3
AZZA3,MBRF3,1D,1H,1
BBAS3,PSSA3,1D,1H,1
AURE3,RDOR3,1D,1H,3
CVCB3,DIRR3,1D,1S,3
RENT3,SMFT3,1D,1T,2
BBSE3,MOTV3,1D,1S,2
MRVE3,CSNA3,1D,1H,1
ABEV3,SLCE3,1D,1T,3
MULT3,PETR4,1D,1T,3
ELET6,GOAU4,1D,1T,1
BBDC3,GOAU4,1D,1T,3
BBAS3,MBRF3,1D,1H,3
MBRF3,MULT3,1D,1T,1
CPLE6,SMFT3,1D,1H,1
ENGI11,FLRY3,1D,1T,3
BBSE3,IRBR3,1D,1S,3
COGN3,TOTS3,1D,1T,1
GGBR4,MRVE3,1D,1H,3
HYPE3,PETR3,1D,1S,2
CSAN3,ELET6,1D,1T,3
KLBN11,VIVT3,1D,1H,2
CXSE3,VALE3,1D,1T,3
MGLU3,RDOR3,1D,1H,1
ENEV3,ITUB4,1D,1H,3
BRAP4,CMIN3,1D,1S,1
MOTV3,SLCE3,1D,1H,1
BBAS3,CMIN3,1D,1H,2
CEAB3,CYRE3,1D,1T,2
ABEV3,CURY3,1D,1H,3
EQTL3,GOAU4,1D,1H,2
CPFE3,SLCE3,1D,1T,2
EQTL3,WEGE3,1D,1S,2
ALOS3,SBSP3,1D,1T,1
ENGI11,SMFT3,1D,1T,1
AZZA3,CSNA3,1D,1T,1
PETR3,TAEE11,1D,1T,2
CVCB3,PSSA3,1D,1S,2
BBAS3,ELET6,1D,1S,3
BRAP4,VALE3,1D,1H,1
CMIN3,TOTS3,1D,1S,1
FLRY3,SLCE3,1D,1H,3
FLRY3,IGTI11,1D,1T,2
HAPV3,PRIO3,1D,1T,2
CURY3,ENEV3,1D,1T,2
CURY3,NATU3,1D,1T,1
GGBR4,PETR3,1D,1H,1
AURE3,BBAS3,1D,1T,1
RDOR3,VBBR3,1D,1S,2
MBRF3,PETR4,1D,1T,1
AURE3,VBBR3,1D,1S,2
ISAE4,KLBN11,1D,1H,1
MRVE3,RADL3,1D,1T,2
BBDC3,COGN3,1D,1S,2
ENGI11,PETR4,1D,1S,2
AZZA3,BEEF3,1D,1T,2
BEEF3,YDUQ3,1D,1S,1
BRAP4,VALE3,1D,1H,2
PSSA3,VBBR3,1D,1H,1
BBDC4,ELET3,1D,1H,3
ALOS3,TOTS3,1D,1S,3
ISAE4,TIMS3,1D,1T,2
CMIG4,TOTS3,1D,1H,1
EGIE3,RECV3,1D,1T,1
CYRE3,SMFT3,1D,1H,3
BBDC3,RAIZ4,1D,1T,2
LREN3,YDUQ3,1D,1H,1
BBAS3,EQTL3,1D,1H,3
SBSP3,VAMO3,1D,1S,3
AZZA3,VBBR3,1D,1S,3
CMIG4,PCAR3,1D,1T,3
MRVE3,VIVA3,1D,1S,3
BBSE3,FLRY3,1D,1T,3
BBDC4,COGN3,1D,1H,3
CXSE3,PSSA3,1D,1T,3
ALOS3,BBDC4,1D,1T,2
CMIG4,IGTI11,1D,1T,1
HYPE3,RAIZ4,1D,1S,3
CMIN3,FLRY3,1D,1S,2
MGLU3,CSNA3,1D,1S,1
LREN3,PETR4,1D,1H,3
ENGI11,POMO4,1D,1S,3
B3SA3,HYPE3,1D,1T,3
PRIO3,YDUQ3,1D,1H,1
DIRR3,POMO4,1D,1S,2
EMBR3,SUZB3,1D,1T,3
GGBR4,MRVE3,1D,1H,2
BRAV3,ENGI11,1D,1H,2
ABEV3,CVCB3,1D,1S,2
CMIG4,ENEV3,1D,1S,1
ALOS3,CSAN3,1D,1T,1
PETR3,PRIO3,1D,1H,3
MULT3,SMFT3,1D,1S,3
BRAP4,PETR3,1D,1S,3
CURY3,SBSP3,1D,1H,1
ELET3,PETR3,1D,1T,2
CURY3,PRIO3,1D,1H,3
BBSE3,MGLU3,1D,1T,2
FLRY3,IGTI11,1D,1H,2
CMIG4,ENGI11,1D,1H,1
CPFE3,SMFT3,1D,1H,1
AURE3,WEGE3,1D,1H,1
EQTL3,VIVT3,1D,1H,1
ITSA4,TIMS3,1D,1S,2
CSAN3,PETR4,1D,1S,3
USIM5,YDUQ3,1D,1H,2
PETR3,YDUQ3,1D,1H,1
BBSE3,EGIE3,1D,1T,3
PRIO3,SMFT3,1D,1S,3
CVCB3,TAEE11,1D,1T,2
BRAP4,MULT3,1D,1H,3
BPAC11,TOTS3,1D,1S,1
SBSP3,VBBR3,1D,1H,3
BRAV3,MOTV3,1D,1T,1
CXSE3,SMFT3,1D,1T,1
AURE3,SLCE3,1D,1H,3
BBDC4,CPLE6,1D,1H,3
CPLE6,MOTV3,1D,1H,2
HYPE3,YDUQ3,1D,1H,1
RAIL3,CSNA3,1D,1T,1
AURE3,EMBR3,1D,1S,3
DIRR3,HAPV3,1D,1H,3
ISAE4,VIVT3,1D,1H,2
B3SA3,UGPA3,1D,1T,3
CSAN3,EMBR3,1D,1H,2
CSAN3,SLCE3,1D,1H,2
ELET3,GOAU4,1D,1S,3
MGLU3,SLCE3,1D,1T,2
CURY3,EMBR3,1D,1H,1
ALOS3,ITSA4,1D,1T,3
ASAI3,USIM5,1D,1H,1
GGBR4,WEGE3,1D,1S,2
ALOS3,VAMO3,1D,1T,3
ENEV3,RADL3,1D,1T,3
PETR3,SBSP3,1D,1H,3
EQTL3,VALE3,1D,1H,3
CXSE3,NATU3,1D,1T,1
BBDC4,CVCB3,1D,1T,2
ELET3,ELET6,1D,1T,3
HAPV3,VIVT3,1D,1T,2
CYRE3,BEEF3,1D,1S,1
ABEV3,ITUB4,1D,1T,2
EQTL3,RENT3,1D,1S,3
BRAP4,RAIL3,1D,1T,2
UGPA3,VALE3,1D,1T,3
DIRR3,SLCE3,1D,1T,3
ELET6,ENEV3,1D,1S,3
ALOS3,CVCB3,1D,1T,3
ITSA4,YDUQ3,1D,1H,2
GOAU4,PCAR3,1D,1S,3
PCAR3,VIVA3,1D,1T,2
RDOR3,USIM5,1D,1S,1
BBDC3,BBAS3,1D,1S,2
CEAB3,COGN3,1D,1H,2
LREN3,RAIZ4,1D,1S,2
VAMO3,YDUQ3,1D,1T,3
ABEV3,RECV3,1D,1H,1
DIRR3,PETR4,1D,1S,2
FLRY3,POMO4,1D,1H,3
BRKM5,RADL3,1D,1S,2
EQTL3,YDUQ3,1D,1T,1
RAIL3,WEGE3,1D,1H,2
PCAR3,USIM5,1D,1T,1
MOTV3,MULT3,1D,1T,1
BBSE3,BBDC4,1D,1T,1
ISAE4,WEGE3,1D,1T,2
CYRE3,DIRR3,1D,1H,3
CMIN3,CYRE3,1D,1T,1
ITSA4,MOTV3,1D,1H,2
CPLE6,TIMS3,1D,1T,2
EQTL3,RADL3,1D,1S,3
HAPV3,MBRF3,1D,1S,2
BBSE3,COGN3,1D,1T,3
CMIG4,GGBR4,1D,1H,2
SMFT3,VBBR3,1D,1S,1
ELET6,PETR3,1D,1S,1
CMIN3,MRVE3,1D,1S,1
BBAS3,VAMO3,1D,1H,1
CPFE3,ENGI11,1D,1T,1
BBSE3,VBBR3,1D,1H,3
ABEV3,CMIG4,1D,1S,3
ELET6,NATU3,1D,1T,3
BRAP4,KLBN11,1D,1T,3
EQTL3,ITUB4,1D,1S,1
GOAU4,IGTI11,1D,1H,2
IRBR3,MBRF3,1D,1T,3
POMO4,PRIO3,1D,1T,3
CSAN3,RAIZ4,1D,1S,2
CEAB3,VAMO3,1D,1S,1
BPAC11,CMIN3,1D,1T,1
BRAP4,VIVA3,1D,1S,2
CMIG4,RADL3,1D,1S,3
POMO4,SBSP3,1D,1H,3
CMIG4,CMIN3,1D,1T,3
ABEV3,ELET6,1D,1S,1
BBAS3,SMFT3,1D,1H,1
BBDC4,BEEF3,1D,1T,2
ELET6,WEGE3,1D,1H,2
EQTL3,KLBN11,1D,1T,3
ALOS3,BBSE3,1D,1H,3
BRAP4,ENGI11,1D,1S,3
FLRY3,WEGE3,1D,1T,3
AZZA3,VAMO3,1D,1H,1
EQTL3,VBBR3,1D,1H,1
KLBN11,VIVT3,1D,1S,3
GGBR4,SLCE3,1D,1T,2
ISAE4,PCAR3,1D,1T,1
CPLE6,CSAN3,1D,1T,1
ALOS3,PETR3,1D,1T,1
CPFE3,MRVE3,1D,1T,3
DIRR3,VIVT3,1D,1T,3
ENEV3,RECV3,1D,1H,2
PETR3,VIVA3,1D,1H,1
EMBR3,SUZB3,1D,1T,2
TAEE11,VIVA3,1D,1S,2
USIM5,VBBR3,1D,1S,1
COGN3,VAMO3,1D,1T,3
AZZA3,COGN3,1D,1S,3
PRIO3,VBBR3,1D,1T,2
AZZA3,BPAC11,1D,1H,3
AZZA3,IGTI11,1D,1T,2
HYPE3,POMO4,1D,1S,3
AURE3,PCAR3,1D,1H,3
GGBR4,RAIL3,1D,1H,2
BRAV3,CURY3,1D,1S,1
MGLU3,MRVE3,1D,1S,1
IGTI11,VALE3,1D,1H,1
COGN3,SLCE3,1D,1H,3
GOAU4,HYPE3,1D,1H,2
CPLE6,CMIN3,1D,1S,1
COGN3,RAIL3,1D,1T,1
AURE3,YDUQ3,1D,1S,2
AZZA3,SUZB3,1D,1S,2
ASAI3,MULT3,1D,1S,3
TAEE11,VBBR3,1D,1S,1
CSNA3,USIM5,1D,1T,1
IGTI11,SMFT3,1D,1T,1
DIRR3,NATU3,1D,1S,1
IGTI11,PRIO3,1D,1T,3
CPFE3,HAPV3,1D,1S,2
CPLE6,CMIN3,1D,1T,2
ITSA4,VIVA3,1D,1S,3
ENGI11,UGPA3,1D,1H,1
RENT3,RECV3,1D,1T,3
ALOS3,USIM5,1D,1T,2
SLCE3,VBBR3,1D,1S,1
CYRE3,MOTV3,1D,1T,1
CVCB3,SUZB3,1D,1S,2
CXSE3,CYRE3,1D,1T,1
SANB11,SUZB3,1D,1S,1
ABEV3,CPFE3,1D,1H,1
AZZA3,PCAR3,1D,1T,1
BRKM5,SLCE3,1D,1H,2
ITSA4,PCAR3,1D,1H,1
CMIG4,POMO4,1D,1T,2
AZZA3,BBDC4,1D,1S,2
ISAE4,SMFT3,1D,1T,2
LREN3,VIVT3,1D,1T,1
MULT3,TAEE11,1D,1S,3
CURY3,VIVT3,1D,1T,1
PCAR3,PSSA3,1D,1T,3
MOTV3,PETR3,1D,1T,3
BRAV3,ISAE4,1D,1S,1
CURY3,EMBR3,1D,1S,2
ELET3,CSNA3,1D,1H,1
CURY3,LREN3,1D,1T,3
CPLE6,MGLU3,1D,1H,3
ALOS3,VIVT3,1D,1T,2
CSAN3,ITSA4,1D,1H,2
ISAE4,VALE3,1D,1H,3
ELET6,VIVT3,1D,1T,2
PSSA3,VBBR3,1D,1T,1
RADL3,RDOR3,1D,1H,2
BRAP4,HAPV3,1D,1T,3
CYRE3,ITUB4,1D,1T,2
B3SA3,USIM5,1D,1S,2
PRIO3,TOTS3,1D,1T,3
VIVT3,VBBR3,1D,1T,3
CMIG4,TAEE11,1D,1T,1
GGBR4,ISAE4,1D,1H,3
CEAB3,VALE3,1D,1S,2
BBDC4,PCAR3,1D,1H,1
ITSA4,SBSP3,1D,1T,3
MBRF3,SANB11,1D,1H,3
EQTL3,ITUB4,1D,1T,2
AURE3,MOTV3,1D,1H,2
RECV3,TIMS3,1D,1S,3
CPLE6,POMO4,1D,1S,3
BRAV3,IGTI11,1D,1H,1
EQTL3,POMO4,1D,1S,2
CMIG4,ELET6,1D,1S,1
ITUB4,VBBR3,1D,1S,2
CXSE3,CMIN3,1D,1H,1
ASAI3,USIM5,1D,1H,2
CSNA3,TAEE11,1D,1T,2
SBSP3,WEGE3,1D,1H,2
B3SA3,ENGI11,1D,1S,3
B3SA3,YDUQ3,1D,1T,2
BBDC3,CMIG4,1D,1H,3
MRVE3,VIVT3,1D,1H,1
BBDC3,CVCB3,1D,1H,3
EMBR3,EQTL3,1D,1T,3
BBSE3,EMBR3,1D,1H,1
COGN3,UGPA3,1D,1T,1
ALOS3,WEGE3,1D,1H,1
B3SA3,GOAU4,1D,1S,1
BRAP4,SUZB3,1D,1T,3
COGN3,CSAN3,1D,1H,3
CMIG4,GGBR4,1D,1S,2
CVCB3,RENT3,1D,1S,2
CXSE3,RDOR3,1D,1T,1
SLCE3,VAMO3,1D,1H,2
RENT3,PCAR3,1D,1S,2
GOAU4,MOTV3,1D,1S,3
RDOR3,SLCE3,1D,1T,1
BPAC11,VIVT3,1D,1S,1
BRAP4,TOTS3,1D,1H,2
B3SA3,KLBN11,1D,1T,3
BPAC11,VBBR3,1D,1H,3
CYRE3,IGTI11,1D,1S,1
CMIG4,CYRE3,1D,1H,3
B3SA3,CURY3,1D,1S,2
BBAS3,SANB11,1D,1T,1
ENEV3,PETR3,1D,1S,2
BRAP4,CPLE6,1D,1T,3
CSAN3,VALE3,1D,1S,1
B3SA3,CMIG4,1D,1S,1
ENEV3,NATU3,1D,1H,2
ALOS3,CURY3,1D,1T,1
CPFE3,YDUQ3,1D,1T,2
ABEV3,BRKM5,1D,1H,1
SANB11,TOTS3,1D,1H,1
DIRR3,RECV3,1D,1H,1
IRBR3,ITSA4,1D,1S,2
BBDC4,TOTS3,1D,1T,2
DIRR3,IGTI11,1D,1H,3
HYPE3,VAMO3,1D,1T,3
EQTL3,PETR4,1D,1S,1
BBSE3,CVCB3,1D,1H,2
CMIG4,YDUQ3,1D,1T,2
BBDC3,BRAP4,1D,1T,2
BBDC3,VBBR3,1D,1H,3
CMIG4,ISAE4,1D,1H,3
NATU3,VALE3,1D,1H,3
ALOS3,ELET6,1D,1T,2
CPLE6,TAEE11,1D,1T,1
SANB11,WEGE3,1D,1S,3
COGN3,CPLE6,1D,1S,1
POMO4,VIVT3,1D,1S,2
KLBN11,MRVE3,1D,1S,3
B3SA3,YDUQ3,1D,1H,1
BBDC4,BPAC11,1D,1S,3
MOTV3,NATU3,1D,1S,1
BRAV3,SLCE3,1D,1S,1
BBDC3,EMBR3,1D,1T,1
ITSA4,RAIL3,1D,1T,2
CVCB3,KLBN11,1D,1T,2
AURE3,BPAC11,1D,1S,2
MBRF3,BEEF3,1D,1S,1
AZZA3,YDUQ3,1D,1H,1
FLRY3,KLBN11,1D,1T,1
GGBR4,GOAU4,1D,1H,2
UGPA3,VAMO3,1D,1T,3
BRAV3,EQTL3,1D,1T,1
BBDC4,CXSE3,1D,1T,1
CMIG4,CSAN3,1D,1S,1
LREN3,TIMS3,1D,1H,1
ISAE4,RENT3,1D,1S,1
BBSE3,HAPV3,1D,1H,2
PRIO3,SUZB3,1D,1S,3
CPLE6,CSNA3,1D,1H,1
CURY3,VAMO3,1D,1H,3
ELET6,EMBR3,1D,1H,1
CYRE3,GGBR4,1D,1S,1
MOTV3,YDUQ3,1D,1S,1
AURE3,CPLE6,1D,1H,3
RENT3,LREN3,1D,1S,1
CPLE6,DIRR3,1D,1T,2
UGPA3,VALE3,1D,1T,2
PRIO3,SLCE3,1D,1T,3
CURY3,RDOR3,1D,1H,3
BEEF3,USIM5,1D,1T,1
HYPE3,MULT3,1D,1H,3
RECV3,SBSP3,1D,1T,3
BRAV3,TIMS3,1D,1T,3
BBAS3,EQTL3,1D,1H,2
BBSE3,RAIZ4,1D,1H,3
BPAC11,ENGI11,1D,1S,3
HAPV3,PRIO3,1D,1T,3
CPFE3,ISAE4,1D,1T,2
POMO4,TIMS3,1D,1H,3
SBSP3,VBBR3,1D,1H,2
COGN3,ENEV3,1D,1T,2
CVCB3,USIM5,1D,1H,1
SBSP3,VIVA3,1D,1S,2
HAPV3,VALE3,1D,1T,2
ELET6,VBBR3,1D,1H,1
SBSP3,SANB11,1D,1H,3
COGN3,PETR3,1D,1H,3
BBDC3,USIM5,1D,1T,1
IGTI11,PRIO3,1D,1S,3
SBSP3,UGPA3,1D,1H,1
ENEV3,IRBR3,1D,1T,2
CPLE6,ELET6,1D,1T,2
ITUB4,VIVA3,1D,1H,1
AURE3,SBSP3,1D,1S,1
ASAI3,ENEV3,1D,1H,3
CMIN3,ITSA4,1D,1H,1
EQTL3,SANB11,1D,1T,3
BBAS3,CPFE3,1D,1S,3
PSSA3,VIVA3,1D,1S,2
ELET3,PSSA3,1D,1T,3
MGLU3,YDUQ3,1D,1S,3
BBDC4,WEGE3,1D,1S,1
BEEF3,VIVT3,1D,1H,1
ALOS3,BBAS3,1D,1T,3
PETR4,SUZB3,1D,1T,3
PETR4,CSNA3,1D,1T,1
RENT3,MBRF3,1D,1S,2
EQTL3,LREN3,1D,1H,1
CYRE3,RDOR3,1D,1S,2
EMBR3,TOTS3,1D,1H,2
ALOS3,CMIG4,1D,1S,2
BBAS3,CPFE3,1D,1H,1
KLBN11,SBSP3,1D,1H,3
CMIG4,TIMS3,1D,1H,3
EQTL3,UGPA3,1D,1T,3
DIRR3,POMO4,1D,1H,2
ABEV3,PCAR3,1D,1T,1
BBDC4,SUZB3,1D,1S,2
DIRR3,MOTV3,1D,1H,2
CPLE6,RAIZ4,1D,1T,2
NATU3,RECV3,1D,1S,3
CURY3,ITSA4,1D,1T,2
CMIN3,RENT3,1D,1T,3
BRAP4,CMIG4,1D,1T,3
B3SA3,POMO4,1D,1T,1
CURY3,TAEE11,1D,1T,3
RAIZ4,UGPA3,1D,1S,1
B3SA3,BRKM5,1D,1H,1
HYPE3,SANB11,1D,1T,1
AURE3,CURY3,1D,1H,3
COGN3,VAMO3,1D,1H,2
AURE3,BBDC3,1D,1S,1
ALOS3,CURY3,1D,1H,1
CSAN3,CYRE3,1D,1H,3
IGTI11,MGLU3,1D,1T,3
EMBR3,MBRF3,1D,1T,3
DIRR3,TOTS3,1D,1H,1
CVCB3,ISAE4,1D,1T,2
AURE3,RADL3,1D,1T,2
ELET6,IRBR3,1D,1S,3
EGIE3,HAPV3,1D,1S,3
CYRE3,LREN3,1D,1T,1
AURE3,TAEE11,1D,1H,2
ASAI3,SLCE3,1D,1H,2
EMBR3,EGIE3,1D,1S,1
BBDC3,ENGI11,1D,1S,1
CMIN3,POMO4,1D,1H,3
ASAI3,CVCB3,1D,1H,3
LREN3,MOTV3,1D,1T,3
BRAV3,ENEV3,1D,1T,3
COGN3,CPLE6,1D,1T,2
VALE3,WEGE3,1D,1H,2
AZZA3,EMBR3,1D,1T,3
BBAS3,PETR4,1D,1H,1
AZZA3,MRVE3,1D,1S,3
BRKM5,SANB11,1D,1S,3
HYPE3,VIVA3,1D,1H,1
BEEF3,PSSA3,1D,1H,1
BRAV3,EQTL3,1D,1S,2
KLBN11,MULT3,1D,1H,2
CMIN3,EQTL3,1D,1H,2
BBAS3,RDOR3,1D,1H,3
CMIN3,DIRR3,1D,1T,2
CMIG4,GOAU4,1D,1T,3
